[2023-08-14 13:12:02,308]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:03,410]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:05,333]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:05,390]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:05,393]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:05,395]: INFO: main_deepface : Deleted the image: ./static/licence.jpg]
[2023-08-14 13:12:05,397]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:05,397]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:05,400]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:05,402]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:05,403]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:13,101]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:14,509]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:14,539]: INFO: main_deepface : Images saved to static]
[2023-08-14 13:12:14,542]: INFO: main_deepface : images converted to base64]
[2023-08-14 13:12:14,543]: INFO: main_deepface : Deleted the image: ./static/MicrosoftTeams-image.png]
[2023-08-14 13:12:14,546]: INFO: main_deepface : Deleted the image: ./static/op1.jpg]
[2023-08-14 13:12:14,551]: INFO: main_deepface : Deleted the image: ./static/op2.jpg]
[2023-08-14 13:12:14,552]: INFO: main_deepface : Deleted the image: ./static/op3.jpg]
[2023-08-14 13:12:14,554]: INFO: main_deepface : Deleted the image: ./static/op4.jpg]
[2023-08-14 13:12:14,558]: INFO: main_deepface : Deleted the image: ./static/passport (1).jpg]
[2023-08-14 13:12:15,833]: INFO: main_deepface : Both images copied successfully]
[2023-08-14 13:12:17,175]: INFO: main_deepface : Images returned from deepface face identified ]
[2023-08-14 13:12:17,211]: INFO: main_deepface : Images saved to static]
